year,lastmod,category,url
2024,2024-01-28T09:39:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/fussball-bundesliga-tabellenfuehrer-bayer-leverkusen-mit-vielen-chance-aber-ohne-tor-gegen-gladbach-a-9479cda3-6160-4cab-937e-91eb18c83218
2024,2024-01-27T17:52:00+01:00,Frauenfussball,https://www.spiegel.de/sport/fussball/fussball-bundesliga-der-frauen-fc-bayern-profitiert-gegen-1899-hoffenheim-von-schlecht-gestellter-mauer-a-c3527ef8-3c64-47ea-bdab-81429b322c43
2024,2024-01-28T09:30:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/fussball-bundesliga-zuschauer-muss-bei-vfl-wolfsburg-vs-1-fc-koeln-als-vierter-offizieller-einspringen-a-9d97b181-5709-4686-a600-f86be2501482
2024,2024-01-28T09:29:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/fussball-bundesliga-bayern-bestehen-den-haertetest-in-augsburg-vfb-stuttgart-gewinnt-verfolgerduell-gegen-leipzig-a-e1227bd3-780b-490c-873c-17896a1d9e44
2024,2024-01-28T09:26:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/2-fussball-bundesliga-hertha-bsc-verliert-gegen-sv-wehen-wiesbaden-hansa-rostock-besiegt-sv-elversberg-a-a45a348b-9465-4f60-aac7-6fb2f49d9f58
2024,2024-01-27T15:24:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/holocaust-gedenktag-der-schwarze-bomber-der-ohne-groll-wiederkehrte-a-7a1fbf5d-3ce9-4f07-b934-4791ee35fb16
2024,2024-01-28T15:05:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/juergen-klopp-verlaesst-den-fc-liverpool-ein-besuch-in-der-stadt-der-scouser-a-885ddc14-9816-4ca8-8b65-2795506b631d
2024,2024-01-26T23:02:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/fussball-bundesliga-mario-goetze-koepft-eintracht-frankfurt-zum-1-0-sieg-gegen-mainz-05-a-27a89a1b-c696-474c-94c8-14f6691a882f
2024,2024-01-27T09:26:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/2-fussball-bundesliga-1-fc-kaiserlautern-gewinnt-gegen-schalke-04-hannover-96-schlaegt-fc-nuernberg-a-41835298-6c83-410a-a972-cb37c8b23969
2024,2024-01-26T22:25:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/juergen-klopps-ruecktrittsankuendigung-so-reagiert-die-fussballwelt-a-9cc5cecb-baf4-40da-9d06-a0c4fd6a354f
2024,2024-01-26T22:23:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/juergen-klopp-hoert-beim-fc-liverpool-auf-kein-klub-kein-land-fuer-das-naechste-jahr-a-d53af10c-482e-44a0-a99d-66de9051834b
2024,2024-01-26T15:48:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/juergen-klopp-und-der-rueckzug-beim-fc-liverpool-abschied-in-die-freiheit-a-62914580-2518-4e32-8712-b56ed898e4c2
2024,2024-01-26T14:26:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/premier-league-juergen-klopp-hoert-beim-fc-liverpool-zum-saisonende-auf-a-754d4a82-6826-461b-b2e3-49737a8aef9e
2024,2024-01-26T10:23:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/fussball-rb-leipzig-stellt-zwei-jugendspieler-nach-rassistischen-beleidigungen-frei-a-3742c44b-4818-440a-97d8-f98de00f4c57
2024,2024-01-25T16:41:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/union-berlin-nenad-bjelica-fuer-drei-spiele-gesperrt-wegen-taetlichkeit-gegen-leroy-sane-a-68a3a7e9-7de7-4151-b11f-2154de5fc682
2024,2024-01-25T16:12:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/1-fc-union-berlin-taetlichkeit-von-nenad-bjelica-diese-aktion-hat-folgen-a-67872d55-28d2-4b44-8c38-859d312d4fc2
2024,2024-01-25T14:09:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/fussball-bundesliga-investorenbuendnis-steigt-bei-werder-bremen-ein-anteile-fuer-38-millionen-euro-a-d95bc2c6-b777-41c8-92a8-97549976f1b3
2024,2024-01-25T10:54:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/fussball-europas-topklubs-mit-umsatzrekord-real-madrid-setzt-am-meisten-um-a-ce340ceb-a57b-426b-8a95-4ce3d24d37dd
2024,2024-01-25T10:30:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/fussball-quiz-gegen-wen-hat-die-dfb-elf-noch-nie-gewonnen-a-734711d0-1815-4c36-86fa-bbb752506bc0
2024,2024-01-25T10:16:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/nenad-bjelica-attackiert-leroy-sane-fc-bayern-siegt-gegen-union-berlin-die-probleme-bleiben-a-a0d7a5f0-2f0e-4b8c-a293-615fd06aae3b
2024,2024-01-25T08:14:00+01:00,Herrenfussball,https://www.spiegel.de/sport/fussball/fussball-fc-barcelona-und-fc-girona-scheiden-ueberraschend-im-spanischen-pokal-aus-a-5e915c88-82b0-4e46-b6d3-bcf0b6f6bc49
