year,month,lastmod,category,url
2026,1,2026-01-22T08:17:01Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47434989/arsenal-transfers-latest-news-reports-analysis-rumours-signings-exits-deals-contracts
2026,1,2026-01-22T08:15:13Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47335534/man-united-transfers-latest-news-reports-analysis-rumours-signings-exits-deals-contracts
2026,1,2026-01-22T08:15:29Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47470578/liverpool-transfers-latest-news-reports-analysis-rumours-signings-exits-deals-contracts
2026,1,2026-01-22T07:33:23Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47687128/real-madrid-tops-money-league-man-united-teams-clear-record-12b
2026,1,2026-01-22T04:18:46Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47687813/uefa-champions-league-stats-robert-lewandowski-overtakes-cristiano-ronaldo-38-franco-mastantuono-second-lionel-messi-harry-kane-first-englishman-71
2026,1,2026-01-22T00:02:14Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47686108/eddie-howe-newcastle-champions-league-psg-not-revenge
2026,1,2026-01-22T02:22:01Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47622287/how-teams-qualify-2025-26-champions-league-knockouts
2026,1,2026-01-22T00:12:21Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47685565/barcelona-win-injury-pedri-not-good-news
2026,1,2026-01-22T00:47:26Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47685643/liverpool-dominik-szoboszlai-free-kick-goal-marseille
2026,1,2026-01-21T22:35:59Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47683293/marseille-liverpool-live-champions-league-latest-updates-news-commentary-score
2026,1,2026-01-21T22:33:32Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47678993/transfer-rumors-news-man-united-explore-loftus-cheek-loan-milan
2026,1,2026-01-21T22:20:21Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47665577/uefa-champions-league-updates-marseille-liverpool-juventus-benfica-slavia-prague-barcelona-pafos-chelsea
2026,1,2026-01-21T21:37:06Z,Frauenfussball,https://www.espn.com/soccer/story/_/id/47684688/man-united-chelsea-womens-league-cup-final-arsenal-city
2026,1,2026-01-21T20:31:15Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47684110/cristiano-ronaldo-960-career-goals-al-nassr-1000
2026,1,2026-01-21T19:52:26Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47683751/jean-philippe-mateta-crystal-palace-transfer-juventus-aston-villa
2026,1,2026-01-21T19:57:51Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/46751020/cristiano-ronaldo-goal-tracker-road-1000-career-goals
2026,1,2026-01-21T19:02:42Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47683070/algeria-luca-zidane-2-match-afcon-ban-cleared-world-cup
2026,1,2026-01-21T17:45:04Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47682522/usa-emma-hayes-trinity-rodman-next-steps-career-washington-spirit
2026,1,2026-01-21T18:14:55Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47681540/manchester-city-refund-bodo-glimt-champions-league
2026,1,2026-01-21T14:06:02Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47680805/france-boycott-world-cup-greenland-now
2026,1,2026-01-21T15:18:24Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47677057/soccer-manager-stress-ruben-amorim-xabi-alonso-man-united-real-madrid-dean-smith-gary-rowett
2026,1,2026-01-21T17:50:45Z,Herrenfussball,https://www.espn.com/soccer/story/_/id/47680429/what-vinicius-junior-options-real-madrid-contract-runs-down
2026,1,2026-01-21T14:11:14Z,Frauenfussball,https://www.espn.com/soccer/story/_/id/47680091/wsl-admits-serious-concerns-women-club-world-cup-scheduling
2026,1,"Fri, 23 Jan 2026 07:24:38 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47696282/premier-league-power-rankings-rating-all-20-teams-january-2026
2026,1,"Fri, 23 Jan 2026 07:19:41 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47703134/liverpool-andy-robertson-talks-tottenham-transfer-sources
2026,1,"Fri, 23 Jan 2026 07:19:41 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47610882/trinity-rodman-record-deal-washington-spirit
2026,1,"Fri, 23 Jan 2026 07:53:34 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47702887/arne-slot-liverpool-unlikely-make-signings-january
2026,1,"Fri, 23 Jan 2026 07:19:41 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47693725/casemiro-leave-man-united-end-season
2026,1,"Fri, 23 Jan 2026 07:19:41 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47700362/dual-nationals-ledezma-gutierrez-help-mexico-snap-six-match-winless-streak
2026,1,"Fri, 23 Jan 2026 07:19:41 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47694005/edin-dzeko-world-cup-transfer-germany-schalke-fiorentina-bosnia
2026,1,"Fri, 23 Jan 2026 07:19:41 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47701602/australia-defender-kai-trewin-nears-new-york-city-move-sources
2026,1,"Fri, 23 Jan 2026 07:19:41 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47694308/atlanta-set-sign-barcelona-us-youth-international-gill
2026,1,"Fri, 23 Jan 2026 07:19:41 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47444534/january-transfer-window-grading-big-signings-mens-soccer
2026,1,"Fri, 23 Jan 2026 06:53:35 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47692953/transfer-window-weekly-arsenal-liverpool-man-city-bundesliga-kennet-eichhorn
2026,1,"Fri, 23 Jan 2026 06:53:34 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47701762/transfer-rumors-news-saudi-league-eyes-salah-vinicius-jr-plus-50-more
2026,1,"Fri, 23 Jan 2026 06:44:16 EST",Frauenfussball,https://www.espn.com/soccer/story/_/id/47688055/uswnt-star-trinity-rodman-record-nwsl-deal-means-the-league
2026,1,"Fri, 23 Jan 2026 03:48:15 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47650854/nba-greats-kerr-nash-ups-downs-owning-spanish-soccer-team-mallorca
2026,1,"Thu, 22 Jan 2026 15:23:15 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47691630/uefa-champions-league-rankings-projections-arsenal-perfect-top-8-fight-getting-messy-bill-connelly
2026,1,"Thu, 22 Jan 2026 15:23:16 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47684606/ucl-talking-points-matchday-8s-see-games-man-citys-slump
2026,1,"Wed, 21 Jan 2026 19:51:46 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47622287/how-teams-qualify-2025-26-champions-league-knockouts
2026,1,"Wed, 21 Jan 2026 19:51:46 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47686356/if-liverpool-want-successful-all-roads-lead-dominik-szoboszlai
2026,1,"Thu, 22 Jan 2026 11:11:32 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47692432/shorn-star-strikers-hugo-ekitike-omar-marmoush-eintracht-frankfurt-floundering
2026,1,"Thu, 22 Jan 2026 04:59:25 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47688262/how-arsenal-respond-packed-fixture-schedule-define-their-season
2026,1,"Thu, 22 Jan 2026 11:43:52 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47669174/man-utd-chelsea-sneak-learned-league-cup-semis
2026,1,"Wed, 21 Jan 2026 18:10:57 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47680429/what-vinicius-junior-options-real-madrid-contract-runs-down
2026,1,"Tue, 20 Jan 2026 20:20:14 EST",Herrenfussball,https://www.espn.com/soccer/story/_/id/47589924/usmnt-2026-world-cup-big-board-4-mauricio-pochettino-roster-coming-focus
